School_ID,County_Name,School_Name,School_Lat,School_Long,Store_Name,Store_Lat,Store_Long,Store_Address,Store_PlaceID
203,Clayton County, Harper Elementary School,33.5645303,-84.3889465,Publix Super Market at Mt. Zion,33.5616957,-84.3251349,"2035 Mount Zion Road, Morrow",ChIJAYU2wP379IgRV6JG0RTvF-I
203,Clayton County, Harper Elementary School,33.5645303,-84.3889465,ALDI,33.5965424,-84.4279763,"5820 Riverdale Road, College Park",ChIJxyDTmrD89IgRgrZH3KFM1JQ
199,Clayton County, Hawthorne Elementary School,33.4617763,-84.3662805,ALDI,33.4725516,-84.444543,"1060 Highway 85 North, Fayetteville",ChIJWRZMROfv9IgRIua9mO_7RFA
199,Clayton County, Hawthorne Elementary School,33.4617763,-84.3662805,ALDI,33.4418943,-84.322878,"11499 Tara Boulevard, Lovejoy",ChIJX7zpyuL29IgRptD3eaYlZ14
199,Clayton County, Hawthorne Elementary School,33.4617763,-84.3662805,ALDI,33.5341018,-84.3697912,"615 North Avenue, Jonesboro",ChIJn1-5qzT69IgRVYRQO4TJAW8
199,Clayton County, Hawthorne Elementary School,33.4617763,-84.3662805,Publix Super Market at Fayette Pavilion,33.47841700000001,-84.4385971,"108 Pavilion Parkway, Fayetteville",ChIJ-UxfhuTv9IgRdENCHo9qid0
3054,Clayton County, Haynie Elementary School,33.5861375,-84.35309579999999,H Mart Riverdale,33.5828934,-84.41264340000001,"6335 Georgia 85, Riverdale",ChIJTfOT55389IgRMdwExIWG6Ho
3054,Clayton County, Haynie Elementary School,33.5861375,-84.35309579999999,Publix Super Market at Mt. Zion,33.5616957,-84.3251349,"2035 Mount Zion Road, Morrow",ChIJAYU2wP379IgRV6JG0RTvF-I
3054,Clayton County, Haynie Elementary School,33.5861375,-84.35309579999999,ALDI,33.5965424,-84.4279763,"5820 Riverdale Road, College Park",ChIJxyDTmrD89IgRgrZH3KFM1JQ
3054,Clayton County, Haynie Elementary School,33.5861375,-84.35309579999999,ALDI,33.5341018,-84.3697912,"615 North Avenue, Jonesboro",ChIJn1-5qzT69IgRVYRQO4TJAW8
5054,Clayton County, Huie Elementary School,33.6386158,-84.3486181,Kroger,33.68236810000001,-84.4093793,"2685 Metropolitan Parkway Southwest, Atlanta",ChIJ98UKmpAC9YgRx_FrB4QSp7o
5054,Clayton County, Huie Elementary School,33.6386158,-84.3486181,H Mart Riverdale,33.5828934,-84.41264340000001,"6335 Georgia 85, Riverdale",ChIJTfOT55389IgRMdwExIWG6Ho
5054,Clayton County, Huie Elementary School,33.6386158,-84.3486181,ALDI,33.7137226,-84.35020159999999,"1461 Moreland Avenue Southeast, Atlanta",ChIJNYyG134B9YgRUJOqTz5seeQ
5054,Clayton County, Huie Elementary School,33.6386158,-84.3486181,ALDI,33.5965424,-84.4279763,"5820 Riverdale Road, College Park",ChIJxyDTmrD89IgRgrZH3KFM1JQ
